,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
34,47 Degrees - UK,Technological Startups,Tech Startup,GB,"Irongate House, 30 Dukes Place",51.514267,-0.07757284,"{'type': 'Point', 'coordinates': (51.514267, -0.07757284)}"
35,LIVEPOSTER HQ,Technological Startups,Tech Startup,GB,19-20 Gt Sutton St.,51.52327054772943,-0.10055065155029297,"{'type': 'Point', 'coordinates': (51.52327054772943, -0.10055065155029297)}"
36,Volta Great Sutton Street,Technological Startups,Tech Startup,GB,36-43 Great Sutton Street,51.52333776971986,-0.10080706309481276,"{'type': 'Point', 'coordinates': (51.52333776971986, -0.10080706309481276)}"
37,Makers Academy,Technological Startups,Tech Startup,GB,50-52 Commercial Street,51.51725519059245,-0.0733800192498235,"{'type': 'Point', 'coordinates': (51.51725519059245, -0.0733800192498235)}"
38,Phantom,Technological Startups,Tech Startup,GB,Underwood St.,51.52993392944336,-0.0912078469991684,"{'type': 'Point', 'coordinates': (51.52993392944336, -0.0912078469991684)}"
39,Forward Partners,Technological Startups,Tech Startup,GB,"120-134 East Road (Commercial Unit 2, Aurora Building)",51.53041669112493,-0.0856046673657288,"{'type': 'Point', 'coordinates': (51.53041669112493, -0.0856046673657288)}"
40,Accelerator,Technological Startups,Tech Startup,GB,35 Kingsland Road,51.52913792021197,-0.07798850603330465,"{'type': 'Point', 'coordinates': (51.52913792021197, -0.07798850603330465)}"
41,Pokke HQ,Technological Startups,Tech Startup,GB,United Kingdom,51.53094666438892,-0.08606672286987305,"{'type': 'Point', 'coordinates': (51.53094666438892, -0.08606672286987305)}"
42,TechHub,Technological Startups,Coworking Space,GB,207 Old Street,51.52562764845287,-0.08844160534140592,"{'type': 'Point', 'coordinates': (51.52562764845287, -0.08844160534140592)}"
43,Boppl,Technological Startups,Tech Startup,GB,9 White Lion Street,51.52238665460784,-0.10366432422229116,"{'type': 'Point', 'coordinates': (51.52238665460784, -0.10366432422229116)}"
44,The Access Group Recruitment Division,Technological Startups,Tech Startup,GB,1 Aldgate,51.51327185,-0.07688415,"{'type': 'Point', 'coordinates': (51.51327185, -0.07688415)}"
45,Weblife Systems Ltd,Technological Startups,Tech Startup,GB,20-22 Wenlock Road,51.5306600977957,-0.0935664592760339,"{'type': 'Point', 'coordinates': (51.5306600977957, -0.0935664592760339)}"
46,Deliveroo HQ,Technological Startups,Tech Startup,GB,1 Cousin Ln,51.50982596819987,-0.09114685388160182,"{'type': 'Point', 'coordinates': (51.50982596819987, -0.09114685388160182)}"
47,Fits.me London,Technological Startups,Tech Startup,GB,9 Fitzroy Mews,51.522957917592535,-0.10453179522055929,"{'type': 'Point', 'coordinates': (51.522957917592535, -0.10453179522055929)}"
48,Bluewolf,Technological Startups,Tech Startup,GB,"47 Mark Lane, City of London, London, Greater London EC3R 7QQ",51.509992,-0.079922,"{'type': 'Point', 'coordinates': (51.509992, -0.079922)}"
