,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
80,Harry's,Leisure Places,Pub,SG,28 Circular Rd (Boat Quay),1.2860944545028554,103.85008563750566,"{'type': 'Point', 'coordinates': (1.2860944545028554, 103.85008563750566)}"
81,RedDot BrewHouse,Leisure Places,Pub,SG,33/34 Boat Quay,1.2863002879696293,103.8498691984193,"{'type': 'Point', 'coordinates': (1.2863002879696293, 103.8498691984193)}"
82,Alchemy,Leisure Places,Pub,SG,#01-02 Central Mall (3 Magazine Road),1.2886975783470815,103.84270411880135,"{'type': 'Point', 'coordinates': (1.2886975783470815, 103.84270411880135)}"
83,Check In,Leisure Places,Pub,SG,24 Pagoda St.,1.2826916712864382,103.84549737567626,"{'type': 'Point', 'coordinates': (1.2826916712864382, 103.84549737567626)}"
84,Jab1,Leisure Places,Pub,SG,1 Circular Road,1.2882824882131556,103.84855896234512,"{'type': 'Point', 'coordinates': (1.2882824882131556, 103.84855896234512)}"
85,Lluvia Bar,Leisure Places,Pub,SG,145 Telok Ayer St,1.2808603871631696,103.84767214412238,"{'type': 'Point', 'coordinates': (1.2808603871631696, 103.84767214412238)}"
86,Oxwell & Co.,Leisure Places,Pub,SG,5 Ann Siang Road (Club Street),1.2814253198091532,103.84554788868095,"{'type': 'Point', 'coordinates': (1.2814253198091532, 103.84554788868095)}"
87,Brewerkz Restaurant & Microbrewery,Leisure Places,Brewery,SG,"#01-05/06, Riverside Point (30 Merchant Road)",1.289527,103.844098,"{'type': 'Point', 'coordinates': (1.289527, 103.844098)}"
88,Raffles Place Bistro,Leisure Places,Pub,SG,"#01-01, The Sail (2 Marina Blvd)",1.2819790318158573,103.85292933420777,"{'type': 'Point', 'coordinates': (1.2819790318158573, 103.85292933420777)}"
89,Highlander Bar & Restaurant,Leisure Places,Bar,SG,3B River Valley Road #01-11 Clarke Quay (Clarke Quay),1.290441925522098,103.84549245885033,"{'type': 'Point', 'coordinates': (1.290441925522098, 103.84549245885033)}"
90,Uncabunca,Leisure Places,Pub,SG,48 Circular Rd (Boat Quay),1.2918361,103.840576,"{'type': 'Point', 'coordinates': (1.2918361, 103.840576)}"
91,Harry's,Leisure Places,Pub,SG,#01-03 Marina Bay Link Mall (8A Marina Boulevard),1.2802035561766771,103.85449963110545,"{'type': 'Point', 'coordinates': (1.2802035561766771, 103.85449963110545)}"
92,Archipelago,Leisure Places,Pub,SG,210 South Bridge (at Mosque St),1.2832974179357084,103.84575929416835,"{'type': 'Point', 'coordinates': (1.2832974179357084, 103.84575929416835)}"
93,30a Boat Quay X-bar,Leisure Places,Pub,SG,Singapore,1.2868192434880876,103.84886753513757,"{'type': 'Point', 'coordinates': (1.2868192434880876, 103.84886753513757)}"
94,Toxic Bar,Leisure Places,Pub,SG,22a Circular Square,1.2869030991129426,103.84873072139713,"{'type': 'Point', 'coordinates': (1.2869030991129426, 103.84873072139713)}"
95,Paulaner Bräuhaus,Leisure Places,Pub,SG,"#01-01, Millenia Walk (9 Raffles Blvd)",1.2931391449273943,103.85829478901404,"{'type': 'Point', 'coordinates': (1.2931391449273943, 103.85829478901404)}"
96,Drinking Place,Leisure Places,Pub,SG,Singapore,1.286424613109909,103.8498212109266,"{'type': 'Point', 'coordinates': (1.286424613109909, 103.8498212109266)}"
97,De Luxy,Leisure Places,Pub,SG,77 south bridge road,1.2867359360686474,103.84792561868326,"{'type': 'Point', 'coordinates': (1.2867359360686474, 103.84792561868326)}"
98,Liquid @ Boat Quay,Leisure Places,Pub,SG,Singapore,1.2863164579402884,103.84920224142012,"{'type': 'Point', 'coordinates': (1.2863164579402884, 103.84920224142012)}"
99,Audition pub,Leisure Places,Pub,SG,76 Circular Road,1.286643776723571,103.84896614166247,"{'type': 'Point', 'coordinates': (1.286643776723571, 103.84896614166247)}"
100,Liquid Empire Executive,Leisure Places,Pub,SG,53B South Bridge Road (Boat Quay),1.2872824015287094,103.84825947022463,"{'type': 'Point', 'coordinates': (1.2872824015287094, 103.84825947022463)}"
101,Toxic Lab,Leisure Places,Pub,SG,51 South Bridge Rd,1.2872532101190008,103.84821649708333,"{'type': 'Point', 'coordinates': (1.2872532101190008, 103.84821649708333)}"
102,Toxic Room,Leisure Places,Pub,SG,53 South Bridge Road,1.2872639611382535,103.84820667994951,"{'type': 'Point', 'coordinates': (1.2872639611382535, 103.84820667994951)}"
103,十三妹(13 Sisters) @ Hongkong Street,Leisure Places,Pub,SG,Singapore,1.287523280786343,103.84739096200204,"{'type': 'Point', 'coordinates': (1.287523280786343, 103.84739096200204)}"
104,十三妹,Leisure Places,Pub,SG,Hong Kong Street,1.2875098370199975,103.84739222012506,"{'type': 'Point', 'coordinates': (1.2875098370199975, 103.84739222012506)}"
105,Club Samurai,Leisure Places,Pub,SG,Singapore,1.2868211971715273,103.84891518710381,"{'type': 'Point', 'coordinates': (1.2868211971715273, 103.84891518710381)}"
106,Martin Entertainment,Leisure Places,Pub,SG,27A Circular rd,1.2868734788365983,103.8488659310156,"{'type': 'Point', 'coordinates': (1.2868734788365983, 103.8488659310156)}"
107,Shebang Pub,Leisure Places,Pub,SG,82 Circular Road,1.287242162131326,103.84881490570413,"{'type': 'Point', 'coordinates': (1.287242162131326, 103.84881490570413)}"
108,Liquid 40,Leisure Places,Pub,SG,Circular Rd,1.2863806510712903,103.84884158605549,"{'type': 'Point', 'coordinates': (1.2863806510712903, 103.84884158605549)}"
109,Union Pub @ Circular Rd,Leisure Places,Pub,SG,Singapore,1.287089,103.848843,"{'type': 'Point', 'coordinates': (1.287089, 103.848843)}"
110,Shin Bar,Leisure Places,Pub,SG,Boat Quay,1.287221,103.848126,"{'type': 'Point', 'coordinates': (1.287221, 103.848126)}"
111,Bar 57,Leisure Places,Pub,SG,57B Boat Quay,1.287086899216739,103.84977575589052,"{'type': 'Point', 'coordinates': (1.287086899216739, 103.84977575589052)}"
112,McGettigan's CQ #McGettigansCQ,Leisure Places,Pub,SG,#01-01 Block C/D Clarke Quay (3A River Valley Rd),1.290547621793041,103.84480880485545,"{'type': 'Point', 'coordinates': (1.290547621793041, 103.84480880485545)}"
113,Club Strawberry,Leisure Places,Pub,SG,74 Circular Road #01-01,1.2867080580327046,103.84900971708235,"{'type': 'Point', 'coordinates': (1.2867080580327046, 103.84900971708235)}"
114,Hannibal European Grill & Pizza Bar,Leisure Places,Pub,SG,#01-04 The Pier @ Robertson Walk (80 Mohamed Sultan Rd.),1.2917292673766851,103.84109185539076,"{'type': 'Point', 'coordinates': (1.2917292673766851, 103.84109185539076)}"
115,Marquee Bistro & Bar,Leisure Places,Pub,SG,21 Church Street,1.2840818916739962,103.84827542564442,"{'type': 'Point', 'coordinates': (1.2840818916739962, 103.84827542564442)}"
116,Harry's,Leisure Places,Pub,SG,"#01-14, Chijmes (30 Victoria St)",1.2948134,103.85263,"{'type': 'Point', 'coordinates': (1.2948134, 103.85263)}"
117,Purple Turtle Ktv Pool,Leisure Places,Pub,SG,36A Boat Quay,1.2863562287188328,103.84973154247136,"{'type': 'Point', 'coordinates': (1.2863562287188328, 103.84973154247136)}"
118,Upper Circular Road,Leisure Places,Pub,SG,Upper Circular Road,1.288667,103.848319,"{'type': 'Point', 'coordinates': (1.288667, 103.848319)}"
119,Purple Bar,Leisure Places,Pub,SG,Boat Quay,1.2886174554902496,103.8493449990094,"{'type': 'Point', 'coordinates': (1.2886174554902496, 103.8493449990094)}"
120,Aurora Boat Quay,Leisure Places,Pub,SG,Singapore,1.288638,103.849351,"{'type': 'Point', 'coordinates': (1.288638, 103.849351)}"
121,The Chamber,Leisure Places,Pub,SG,Far East Square,1.2839579857890173,103.84817286299169,"{'type': 'Point', 'coordinates': (1.2839579857890173, 103.84817286299169)}"
122,Skinny's Lounge,Leisure Places,Dive Bar,SG,82 Boat Quay,1.288604829804924,103.8493614428837,"{'type': 'Point', 'coordinates': (1.288604829804924, 103.8493614428837)}"
123,Grand Hollywood Disco & Pub,Leisure Places,Pub,SG,"Merchants' Court, #03-02 (3A Clarke Quay)",1.2896196542282727,103.8451871024073,"{'type': 'Point', 'coordinates': (1.2896196542282727, 103.8451871024073)}"
124,Post Bar,Leisure Places,Hotel Bar,SG,"The Fullerton Hotel, Lobby (1 Fullerton Square)",1.2859992947823395,103.85317841914382,"{'type': 'Point', 'coordinates': (1.2859992947823395, 103.85317841914382)}"
125,China One VIP Area,Leisure Places,Pub,SG,3E River Valley Rd #02-01/02/03 (Clarke Quay),1.2898086601902152,103.84655997400196,"{'type': 'Point', 'coordinates': (1.2898086601902152, 103.84655997400196)}"
